round,phase,mta,edge_asr,bpr_threshold
1,attack,45.39,1.00,20.00
2,attack,64.04,22.00,20.00
3,attack,67.90,17.00,20.00
4,attack,70.04,23.00,20.00
5,attack,71.51,22.00,20.00
6,attack,71.91,16.00,20.00
7,attack,73.04,18.00,20.00
8,attack,73.57,15.00,20.00
9,attack,74.41,24.00,20.00
10,attack,74.48,14.00,20.00
11,attack,75.22,18.00,20.00
12,attack,75.80,19.00,20.00
13,attack,75.54,17.00,20.00
14,attack,76.04,23.00,20.00
15,attack,75.88,21.00,20.00
16,attack,76.04,19.00,20.00
17,attack,76.35,20.00,20.00
18,attack,76.36,20.00,20.00
19,attack,76.27,19.00,20.00
20,attack,76.43,17.00,20.00
21,persistence,76.43,16.00,20.00
22,persistence,76.91,16.00,20.00
23,persistence,77.08,17.00,20.00
24,persistence,76.46,17.00,20.00
25,persistence,76.99,16.00,20.00
26,persistence,76.63,16.00,20.00
27,persistence,76.57,16.00,20.00
28,persistence,76.62,17.00,20.00
29,persistence,77.03,16.00,20.00
30,persistence,76.87,17.00,20.00
